"","Month","Year","DayofMonth","mean_difference","name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunset","moonphase","conditions","description","icon","stations"
"1",1,2006,1,8.96613995485327,"California","2006-01-01",13.7,8.2,10.5,13.7,5.9,9.6,7.1,80.3,15.966,100,62.5,"rain",0,0,87.1,45.3,154.3,1006.1,64,13.1,NA,NA,NA,NA,"2006-01-01T07:23:50","2006-01-01T16:55:37",0.06,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237"
"2",1,2006,10,5.62833675564682,"California","2006-01-10",13.4,3.1,8.7,13.4,1.2,8.4,5.8,82.9,0.008,100,8.33,"rain",0,0,NA,11.9,164.1,1023.4,40.8,11,NA,NA,NA,NA,"2006-01-10T07:23:38","2006-01-10T17:03:48",0.37,"Rain, Partially cloudy","Becoming cloudy in the afternoon with late afternoon rain.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237,72483793216"
"3",1,2006,11,5.62681912681913,"California","2006-01-11",13.1,7.8,10.9,13.1,7.2,10.9,8.7,86.3,0.545,100,20.83,"rain",0,0,NA,19.9,151.1,1019.6,83.7,5.9,NA,NA,NA,NA,"2006-01-11T07:23:26","2006-01-11T17:04:48",0.41,"Rain, Partially cloudy","Partly cloudy throughout the day with rain clearing later.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72492023237,72483793216"
"4",1,2006,12,5.61914893617021,"California","2006-01-12",12.1,7.5,9.1,12.1,5.7,8.4,7.6,90.9,0.065,100,8.33,"rain",0,0,NA,12.8,344.4,1020.7,61.8,6.2,NA,NA,NA,NA,"2006-01-12T07:23:12","2006-01-12T17:05:49",0.44,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72026723224,72483323206,72492023237,72483793216"
"5",1,2006,13,6.73236514522822,"California","2006-01-13",12.4,8.8,10.5,12.4,7.1,10.2,8.2,86.3,0,0,0,"",0,0,NA,16.3,103,1014.3,71,4.8,NA,NA,NA,NA,"2006-01-13T07:22:56","2006-01-13T17:06:51",0.48,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72483893205,74516023202,72482893241,72483023232,72483993225,72026723224,72483323206,72492023237,72483793216"
"6",1,2006,14,5.28589743589744,"California","2006-01-14",11.8,7,10.3,11.8,6.3,9.9,7.7,84.6,8.201,100,58.33,"rain",0,0,51.8,34.7,186.8,1011.6,80.7,12.3,NA,NA,NA,NA,"2006-01-14T07:22:38","2006-01-14T17:07:54",0.5,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237"
"7",1,2006,15,6.06832971800434,"California","2006-01-15",11.8,2.5,6.9,11.8,1.4,6.1,1.4,70.7,0,0,0,"",0,0,NA,19.4,307.4,1025.6,8,15.9,NA,NA,NA,NA,"2006-01-15T07:22:17","2006-01-15T17:08:57",0.55,"Clear","Clear conditions throughout the day.","clear-day","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237"
"8",1,2006,16,5.4305977710233,"California","2006-01-16",11.6,3.1,7.5,11.6,3.1,7.3,2.8,73.5,0,0,0,"",0,0,NA,10.1,332.9,1030.7,70.3,16.2,NA,NA,NA,NA,"2006-01-16T07:21:55","2006-01-16T17:10:01",0.58,"Partially cloudy","Partly cloudy throughout the day.","partly-cloudy-day","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237"
"9",1,2006,17,6.40347293156282,"California","2006-01-17",12.9,5.2,9,12.9,4,8.2,4.5,74.8,2.29,100,29.17,"rain",0,0,NA,22.9,153.9,1026.3,55.7,13.6,NA,NA,NA,NA,"2006-01-17T07:21:30","2006-01-17T17:11:06",0.61,"Rain, Partially cloudy","Partly cloudy throughout the day with rain.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72492023237,72483793216"
"10",1,2006,18,5.38532110091743,"California","2006-01-18",13,5.4,9.1,13,4.8,7.4,6.7,85.3,5.579,100,45.83,"rain",0,0,NA,23.1,176.9,1019.8,72,11.7,NA,NA,NA,NA,"2006-01-18T07:21:04","2006-01-18T17:12:12",0.65,"Rain, Partially cloudy","Partly cloudy throughout the day with a chance of rain throughout the day.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237,72483793216"
