"","Month","Year","DayofMonth","mean_difference","name","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","dew","humidity","precip","precipprob","precipcover","preciptype","snow","snowdepth","windgust","windspeed","winddir","sealevelpressure","cloudcover","visibility","solarradiation","solarenergy","uvindex","severerisk","sunrise","sunset","moonphase","conditions","description","icon","stations"
"1",1,2006,15,16.5,"California","2006-01-15",11.8,2.5,6.9,11.8,1.4,6.1,1.4,70.7,0,0,0,"",0,0,NA,19.4,307.4,1025.6,8,15.9,NA,NA,NA,NA,"2006-01-15T07:22:17","2006-01-15T17:08:57",0.55,"Clear","Clear conditions throughout the day.","clear-day","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72026723224,72492023237"
"2",1,2007,12,8.5,"California","2007-01-12",7.7,-1,2.8,3.2,-5.8,-1.8,-9.6,41.7,0.005,100,4.17,"rain",0,0,70.2,41.2,335.5,1021.2,0.8,16,NA,NA,NA,NA,"2007-01-12T07:23:16","2007-01-12T17:05:34",0.8,"Rain","Clear conditions throughout the day with afternoon rain.","rain","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72492023237,72483793216"
"3",1,2007,13,7,"California","2007-01-13",9.8,-3.4,1.9,8.6,-7.4,-0.6,-12.2,37.9,0,0,0,"",0,0,NA,15.4,340.9,1025.4,3.3,15.8,NA,NA,NA,NA,"2007-01-13T07:23:00","2007-01-13T17:06:36",0.83,"Clear","Clear conditions throughout the day.","clear-day","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72492023237"
"4",1,2007,14,8.5,"California","2007-01-14",9.6,-4.3,2.1,7.6,-6.6,-0.6,-7.9,49.8,0,0,0,"",0,0,NA,17.7,0.5,1026.9,0.3,15.9,NA,NA,NA,NA,"2007-01-14T07:22:42","2007-01-14T17:07:39",0.86,"Clear","Clear conditions throughout the day.","clear-day","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72492023237"
"5",1,2007,15,3,"California","2007-01-15",10,-4.4,1.9,10,-4.4,1.3,-6.1,58.9,0,0,0,"",0,0,NA,7.7,157.7,1031.2,0,13.7,NA,NA,NA,NA,"2007-01-15T07:22:22","2007-01-15T17:08:42",0.89,"Clear","Clear conditions throughout the day.","clear-day","72483893205,74516023202,72482893241,72483023232,72483993225,72483323206,72492023237"
"6",10,2005,13,2,"California","2005-10-13",29.9,10.9,19.6,28.3,10.9,19.3,8.5,53.3,0,0,0,"",0,0,NA,9.9,68.1,1016.8,0,16.7,NA,NA,NA,NA,"2005-10-13T07:13:21","2005-10-13T18:30:16",0.37,"Clear","Clear conditions throughout the day.","clear-day","74516023202,72483023232,72483993225,72483323206,72492023237,72483793216"
"7",10,2005,14,6.33333333333333,"California","2005-10-14",28.6,11.2,18.3,27.5,11.2,18.2,8.8,59.3,0.002,100,4.17,"rain",0,0,50,30.9,199.5,1013.7,2.1,15.4,NA,NA,NA,NA,"2005-10-14T07:14:19","2005-10-14T18:28:49",0.4,"Rain","Clear conditions throughout the day with afternoon rain.","rain","74516023202,72483023232,72483993225,72483323206,72492023237,72483793216"
"8",10,2005,2,5,"California","2005-10-02",22.4,10.2,16.6,22.4,10.2,16.6,9.1,63.9,0,0,0,"",0,0,NA,22.4,226.6,1011,5.8,16.5,NA,NA,NA,NA,"2005-10-02T07:02:54","2005-10-02T18:46:51",0.98,"Clear","Clear conditions throughout the day.","clear-day","74516023202,72483023232,72483993225,72483323206,72492023237,72483793216"
"9",10,2005,21,4,"California","2005-10-21",25.3,9.6,16.8,25.3,9.6,16.8,10.3,69.2,0,0,0,"",0,0,NA,7.5,223.3,1016.1,0.9,15.6,NA,NA,NA,NA,"2005-10-21T07:21:21","2005-10-21T18:19:07",0.64,"Clear","Clear conditions throughout the day.","clear-day","74516023202,72483023232,72483993225,72483323206,72492023237,72483793216"
"10",10,2005,27,9,"California","2005-10-27",19.1,9.6,13.6,19.1,8.8,13.6,7,67.3,0,0,0,"",0,0,NA,16,181.2,1015.2,14.4,16.3,NA,NA,NA,NA,"2005-10-27T07:27:35","2005-10-27T18:11:26",0.83,"Clear","Clear conditions throughout the day.","clear-day","74516023202,72483023232,72483993225,72483323206,72492023237,72483793216"
