"","Origin","Dest","mean_delay","n"
"1","ABE","ATL",41.7928436911488,531
"2","ABE","BWI",80,1
"3","ABE","CLE",29.2014388489209,139
"4","ABE","CLT",21.7317073170732,41
"5","ABE","CVG",38.0390625,128
"6","ABE","DTW",34.2128378378378,296
"7","ABE","JFK",48.3333333333333,3
"8","ABE","LGA",18.5,2
"9","ABE","ORD",54.7479338842975,484
"10","ABI","DFW",52.6451612903226,682
"11","ABQ","AMA",24.5969773299748,397
"12","ABQ","ATL",24.7190635451505,299
"13","ABQ","AUS",29.046511627907,86
"14","ABQ","BWI",10.4556962025316,158
"15","ABQ","CLE",18.3333333333333,3
"16","ABQ","CVG",26.6330935251799,139
"17","ABQ","DAL",18.7876376988984,1634
"18","ABQ","DEN",29.1906077348066,1086
"19","ABQ","DFW",41.5396825396825,756
"20","ABQ","ELP",22.7270833333333,480
"21","ABQ","EWR",44.2327586206897,116
"22","ABQ","GJT",366,1
"23","ABQ","HOU",21.3087934560327,489
"24","ABQ","IAD",33.1327433628319,113
"25","ABQ","IAH",38.2055555555556,540
"26","ABQ","LAS",18.46875,1312
"27","ABQ","LAX",21.0502127659574,1175
"28","ABQ","LBB",19.7322175732218,239
"29","ABQ","MAF",20.6679389312977,262
"30","ABQ","MCI",19.53125,384
"31","ABQ","MCO",17.0616966580977,389
"32","ABQ","MDW",15.6301703163017,411
"33","ABQ","MSP",33.08,200
"34","ABQ","OAK",21.214527027027,592
"35","ABQ","OKC",33.3552631578947,152
"36","ABQ","ONT",30.2686567164179,134
"37","ABQ","ORD",44.8514851485149,202
"38","ABQ","PDX",23.9427083333333,192
"39","ABQ","PHX",22.4136562127829,2519
"40","ABQ","SAN",22.373795761079,519
"41","ABQ","SAT",23.0581395348837,86
"42","ABQ","SEA",26.1821862348178,247
"43","ABQ","SFO",35.031976744186,344
"44","ABQ","SLC",24.3076923076923,780
"45","ABQ","SMF",30.1261261261261,111
"46","ABQ","STL",14.777358490566,265
"47","ABQ","TPA",15.5363636363636,220
"48","ABQ","TUL",27.0504201680672,119
"49","ABQ","TUS",17.3938461538462,325
"50","ABY","ATL",35.134,500
"51","ACK","EWR",92.620253164557,79
"52","ACK","JFK",78.6105263157895,95
