"","state","value"
"AL","AL","Hurricane"
"AK","AK","Severe Storm"
"AZ","AZ","Hurricane"
"AR","AR","Hurricane"
"CA","CA","Fire"
"CO","CO","Coastal Storm"
"CT","CT","Hurricane"
"DE","DE",NA
"FL","FL","Hurricane"
"GA","GA","Hurricane"
"HI","HI","Earthquake"
"ID","ID","Hurricane"
"IL","IL","Hurricane"
"IN","IN","Hurricane"
"IA","IA","Hurricane"
"KS","KS","Hurricane"
"KY","KY","Hurricane"
"LA","LA","Hurricane"
"ME","ME","Hurricane"
"MD","MD","Hurricane"
"MA","MA","Severe Storm"
"MI","MI","Hurricane"
"MN","MN","Severe Storm"
"MS","MS","Hurricane"
"MO","MO","Severe Storm"
"MT","MT","Hurricane"
"NE","NE","Hurricane"
"NV","NV","Hurricane"
"NH","NH",NA
"NJ","NJ","Severe Storm"
"NM","NM","Hurricane"
"NY","NY","Severe Storm"
"NC","NC","Hurricane"
"ND","ND","Severe Storm"
"OH","OH","Severe Storm"
"OK","OK","Hurricane"
"OR","OR","Coastal Storm"
"PA","PA","Hurricane"
"RI","RI","Hurricane"
"SC","SC","Hurricane"
"SD","SD","Severe Storm"
"TN","TN","Hurricane"
"TX","TX","Hurricane"
"UT","UT","Coastal Storm"
"VT","VT",NA
"VA","VA","Severe Storm"
"WA","WA","Coastal Storm"
"WV","WV","Severe Storm"
"WI","WI","Hurricane"
"WY","WY",NA
