"","state","value"
"AL","AL","Hurricane"
"AK","AK","Fire"
"AZ","AZ","Fire"
"AR","AR","Severe Storm"
"CA","CA","Fire"
"CO","CO","Fire"
"CT","CT",NA
"DE","DE",NA
"FL","FL","Hurricane"
"GA","GA","Hurricane"
"HI","HI",NA
"ID","ID","Fire"
"IL","IL","Severe Storm"
"IN","IN","Severe Storm"
"IA","IA","Severe Storm"
"KS","KS","Severe Storm"
"KY","KY","Severe Storm"
"LA","LA","Hurricane"
"ME","ME","Severe Storm"
"MD","MD","Severe Storm"
"MA","MA","Hurricane"
"MI","MI","Severe Storm"
"MN","MN","Severe Storm"
"MS","MS","Hurricane"
"MO","MO","Severe Storm"
"MT","MT","Fire"
"NE","NE","Fire"
"NV","NV","Fire"
"NH","NH","Hurricane"
"NJ","NJ","Severe Storm"
"NM","NM","Severe Storm"
"NY","NY","Severe Storm"
"NC","NC","Hurricane"
"ND","ND","Severe Storm"
"OH","OH","Severe Storm"
"OK","OK","Severe Storm"
"OR","OR","Fire"
"PA","PA","Severe Storm"
"RI","RI",NA
"SC","SC","Hurricane"
"SD","SD","Fire"
"TN","TN","Hurricane"
"TX","TX","Severe Storm"
"UT","UT","Flood"
"VT","VT","Severe Storm"
"VA","VA","Severe Storm"
"WA","WA","Fire"
"WV","WV","Severe Storm"
"WI","WI","Severe Storm"
"WY","WY","Fire"
