"","state","value"
"AL","AL",NA
"AK","AK","Severe Storm"
"AZ","AZ","Severe Storm"
"AR","AR",NA
"CA","CA","Fire"
"CO","CO","Snowstorm"
"CT","CT","Snowstorm"
"DE","DE",NA
"FL","FL","Severe Storm"
"GA","GA",NA
"HI","HI","Earthquake"
"ID","ID","Severe Storm"
"IL","IL","Snowstorm"
"IN","IN","Snowstorm"
"IA","IA","Severe Storm"
"KS","KS","Severe Storm"
"KY","KY","Snowstorm"
"LA","LA","Severe Storm"
"ME","ME","Snowstorm"
"MD","MD",NA
"MA","MA","Snowstorm"
"MI","MI",NA
"MN","MN",NA
"MS","MS",NA
"MO","MO","Severe Ice Storm"
"MT","MT",NA
"NE","NE","Severe Storm"
"NV","NV","Snowstorm"
"NH","NH","Snowstorm"
"NJ","NJ",NA
"NM","NM","Fire"
"NY","NY","Snowstorm"
"NC","NC",NA
"ND","ND","Snowstorm"
"OH","OH","Severe Storm"
"OK","OK","Severe Storm"
"OR","OR","Severe Storm"
"PA","PA",NA
"RI","RI","Snowstorm"
"SC","SC","Severe Ice Storm"
"SD","SD",NA
"TN","TN",NA
"TX","TX","Fire"
"UT","UT","Severe Storm"
"VT","VT",NA
"VA","VA",NA
"WA","WA","Severe Storm"
"WV","WV","Severe Storm"
"WI","WI",NA
"WY","WY",NA
